"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockAll"	"Odblokuj całą mapę"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Automatycznie i natychmiastowo odblokowuje wszystkie kafelki na mapie po uruchomieniu nowego miasta (lub załadowaniu istniejącego)."
"Options.OPTION:ExtraTilesAtStart"	"Dodaj dodatkowe kafelki przy starcie"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Dodaje 88 dodatkowych kafelek natychmiast po rozpoczęciu nowego miasta (wszystkie kamienie milowe dodadzą ich domyślną wartość kafelek)."
"Options.OPTION:ExtraTilesAtEnd"	"Dodaj dodatkowe kafelki do ostatniego kamienia milowego"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Dodaje dodatkowe 88 kafelków do ostatniego kamienia milowego."
"Options.OPTION:AssignToMilestones"	"Przydziel dodatkowe kafelki do kamieni milowych"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Przydziela dodatkowe 88 kafelków do wszystkich kamieni milowych, proporcjonalnie do normalnej liczby dla każdego kamienia milowego."
"Options.OPTION:NoStartingTiles"	"Wybierz początkowe kafelki"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Jeśli ta opcja jest zaznaczona, żadne kafelki nie będą odblokowane po uruchomieniu nowej gry. Zamiast tego możesz wybrać własny obszar startowy (pierwsze 9 kafelków będzie darmowych)."
"Options.OPTION:ResetModSettings"	"Przywróć ustawienia domyślne"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Resetuje wszystkie ustawienia modyfikacji 529 Tiles do wartości domyślnych."
"Options.WARNING:ResetModSettings"	"Przywrócić ustawienia moda 529 Tiles do ustawień domyślnych? Tej czynności nie można cofnąć."
"Options.OPTION:RelockAllTiles"	"Zablokuj całą mapę"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Blokuje wszystkie odblokowane kafelki; możesz natychmiast je odkupić do limitu, który osiągnąłeś."
