"Options.SECTION:[algernon.529Tiles]"	"529 Tiles"
"Options.OPTION:UnlockNone"	"No extra tiles"
"Options.OPTION_DESCRIPTION:UnlockNone"	"Keep the base game behavior and don't provide any extra tile unlocks."
"Options.OPTION:UnlockAll"	"當開始新遊戲（或載入一個現有存檔）時，自動解鎖地圖上所有地塊。"
"Options.OPTION_DESCRIPTION:UnlockAll"	"當開始新遊戲（或載入一個現有存檔）時，自動解鎖地圖上所有地塊。"
"Options.OPTION:ExtraTilesAtStart"	"增加開始新遊戲時可使用的地塊"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"開始新遊戲時即時額外解鎖可使用地塊（里程碑獎勵地塊數量將會在此基礎數量上增加）"
"Options.OPTION:ExtraTilesAtEnd"	"為最終里程碑的解鎖獎勵增加 88 個地塊"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"為最終里程碑的解鎖獎勵增加額外地塊"
"Options.OPTION:AssignToMilestones"	"將額外的地塊分配給每個等級的里程碑"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"將額外的地塊分配給每個等級的里程碑"
"Options.OPTION:NoStartingTiles"	"啟用此選項後，開始新遊戲時不會自動解鎖起始地塊，而是可以由您自由選擇起始地塊（前９個地塊都能免費購買）"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"啟用此選項後，開始新遊戲時不會自動解鎖起始地塊，而是可以由您自由選擇起始地塊（前９個地塊都能免費購買）"
"Options.OPTION:UpkeepMultiplier"	"地塊維護費比例"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"遊戲預設會將地塊的維護費乘上該選項的數值，將此數值設置為０可以取消地塊維護費用機制"
"Options.OPTION:ResetModSettings"	"重設為預設值"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"將 529 Tiles 的設定重置為預設值。"
"Options.WARNING:ResetModSettings"	"您確定要重置 529 Tiles 的設定嗎？此動作無法撤回。"
"Options.OPTION:RelockAllTiles"	"重新解鎖所有地塊"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"將所有已解鎖地塊重新上鎖，接著您可以再次解鎖直至可使用的上限地塊數"
